Date,Close/Last,Open,High,Low
04/26/2024,15927.90,15821.34,15981.00,15770.72
04/25/2024,15611.76,15375.26,15644.51,15343.91
04/24/2024,15712.75,15805.60,15839.00,15634.44
04/23/2024,15696.64,15525.55,15730.35,15510.58
04/22/2024,15451.31,15396.13,15539.00,15265.66
04/19/2024,15282.01,15547.10,15576.70,15222.78
04/18/2024,15601.50,15705.69,15786.12,15587.50
04/17/2024,15683.37,15942.29,15957.03,15654.51
04/16/2024,15865.25,15856.38,15965.79,15822.02
04/15/2024,15885.02,16276.47,16295.27,15863.88
04/12/2024,16175.09,16293.03,16341.45,16125.33
04/11/2024,16442.20,16236.20,16464.60,16154.65
04/10/2024,16170.36,16104.01,16200.10,16092.02
04/09/2024,16306.64,16328.76,16348.18,16141.15
04/08/2024,16253.96,16285.18,16323.60,16220.72
04/05/2024,16248.52,16095.40,16326.50,16080.48
04/04/2024,16049.08,16418.57,16468.04,16046.56
04/03/2024,16277.46,16178.80,16340.74,16169.31
04/02/2024,16240.45,16199.24,16251.41,16137.24
04/01/2024,16396.83,16397.05,16490.65,16327.89
