Date,Close/Last,Open,High,Low
03/01/2024,16274.94,16109.83,16302.24,16096.60
02/29/2024,16091.92,16059.34,16115.96,15931.70
02/28/2024,15947.74,15969.14,16003.56,15924.72
02/27/2024,16035.30,16013.98,16046.10,15940.51
02/26/2024,15976.25,16014.45,16054.90,15973.90
02/23/2024,15996.82,16094.80,16134.22,15954.50
02/22/2024,16041.62,15904.48,16061.82,15869.24
02/21/2024,15580.87,15532.12,15583.68,15451.65
02/20/2024,15630.78,15679.84,15730.47,15508.50
02/16/2024,15775.65,15910.43,15917.41,15752.02
02/15/2024,15906.17,15865.30,15911.22,15779.72
02/14/2024,15859.15,15781.71,15865.51,15683.94
02/13/2024,15655.60,15598.88,15770.42,15551.44
02/12/2024,15942.55,15980.62,16080.07,15917.87
02/09/2024,15990.66,15842.38,16007.29,15831.76
02/08/2024,15793.71,15762.23,15813.27,15739.18
02/07/2024,15756.64,15690.35,15770.68,15645.81
02/06/2024,15609.00,15638.19,15652.75,15515.25
02/05/2024,15597.68,15613.99,15637.88,15471.68
